schedule_id,league,season
11450,shl,2020/21
10371,shl,2019/20
9171,shl,2018/19
8121,shl,2017/18
7132,shl,2016/17
6052,shl,2015/16
5056,shl,2014/15
3905,shl,2013/14
2892,shl,2012/13
965,shl,2011/12
258,shl,2010/11
9024,shl,2009/10
9052,shl,2008/09
9077,shl,2007/08
11449,allsvenskan,2020/21
10333,allsvenskan,2019/20
9168,allsvenskan,2018/19
8122,allsvenskan,2017/18
7157,allsvenskan,2016/17
6053,allsvenskan,2015/16
5057,allsvenskan,2014/15
3906,allsvenskan,2013/14
3005,allsvenskan,2012/13
966,allsvenskan,2011/12
259,allsvenskan,2010/11
9301,allsvenskan,2009/10
9305,allsvenskan,2008/09
9826,allsvenskan,2007/08
13469,shl,2022/23
12318,shl,2021/22
13470,allsvenskan,2022/23
12320,allsvenskan,2021/22
